name,team,pos,adp,proj_points
New England Patriots,DST,DST27,222.7,3.6
Carson Steele,KC,RB63,225.7,
Drake Maye,NE,QB31,226.7,13.4
Alexander Mattison,MIA,RB64,228.7,9.8
Blake Grupe,NO,K19,231,7.7
Rashod Bateman,BAL,WR74,232,10.3
Luke McCaffrey,WAS,WR75,233.7,2
Marvin Mims Jr.,DEN,WR76,233.7,7.6
Jacksonville Jaguars,DST,DST28,234,
Tank Bigsby,JAC,RB65,235,8.1
Justice Hill,BAL,RB66,236.7,8.5
Cam Little,JAC,K20,236.7,
Wan'Dale Robinson,NYG,WR77,237.3,10.7
Troy Franklin,DEN,WR78,239,4.2
Tennessee Titans,DST,DST29,241,
Roschon Johnson,CHI,RB67,244.3,6
Daniel Jones,IND,QB32,246.7,14.2
Noah Fant,SEA,TE29,248,7.4
Ja'Tavion Sanders,CAR,TE30,249,4.6
Los Angeles Rams,DST,DST30,250.3,5.2
Tyler Boyd,,WR79,250.7,
Jamaal Williams,,RB68,253.7,
Keaton Mitchell,BAL,RB69,254.3,1.7
Audric Estime,DEN,RB70,257,3.7
Colby Parkinson,LAR,TE31,257.7,
Will Shipley,PHI,RB71,258.7,1.2
Greg Dulcich,NYG,TE32,259,0.9
Juwan Johnson,NO,TE33,262.3,7.2
Jalen Tolbert,DAL,WR80,263.7,8.9
Greg Dortch,ARI,WR81,265.3,
Demarcus Robinson,SF,WR82,266.7,7.3
Darius Slayton,NYG,WR83,270,6.9
Samaje Perine,CIN,RB72,271.3,4.8
Michael Mayer,LV,TE34,271.7,3.3
Dustin Hopkins,CLE,K21,159.5,
Kadarius Toney,,WR84,282.7,
Arizona Cardinals,DST,DST31,186.5,3.9
Chris Boswell,PIT,K22,186.5,11.2
Ricky Pearsall,SF,WR85,187.5,8.5
Brenden Rice,LAC,WR86,293.3,
Devontez Walker,BAL,WR87,294.3,1.3
Malachi Corley,NYJ,WR88,199.5,0.7
Michael Penix Jr.,ATL,QB33,302.3,9.4
Eric Gray,NYG,RB73,306,
Jordan Whittington,LAR,WR89,307.7,3.5
Darren Waller,,TE35,213.5,
Dylan Laube,LV,RB74,310,
Brandon McManus,GB,K23,311.3,9
Trey Sermon,,RB75,316,3.2
Odell Beckham Jr.,,WR90,225,
Graham Gano,NYG,K24,227,
Wil Lutz,DEN,K25,230,9.4
Javon Baker,NE,WR91,323.7,0.2
Noah Gray,KC,TE36,239.5,6.7
Kendre Miller,NO,RB76,243.5,4.2
Kyle Juszczyk,SF,RB77,243.5,
JuJu Smith-Schuster,KC,WR92,245.5,
Malik Washington,MIA,WR93,331,3.9
Daniel Bellinger,NYG,TE37,331.7,
Cam Akers,,RB78,334.7,5.8
Gardner Minshew II,KC,QB34,253,
Jonathan Mingo,DAL,WR94,340.3,
Justin Watson,HOU,WR95,264,
Tucker Kraft,GB,TE38,264,9.6
Braxton Berrios,HOU,WR96,267,
Joshua Karty,LAR,K26,269.5,7.9
Miles Sanders,DAL,RB79,270.5,7
Louis Rees-Zammit,JAC,RB80,270.5,
Jalen McMillan,TB,WR97,275.5,10.4
KaVontae Turpin,DAL,WR98,279,6.1
Jauan Jennings,SF,WR99,280,14
Skyy Moore,KC,WR100,280.5,
Jake Bobo,SEA,WR101,281,
Jalin Hyatt,NYG,WR102,282.5,
Hayden Hurst,,TE39,287,
Anders Carlson,NYJ,K27,287.5,
Joey Slye,TEN,K28,288,
Dyami Brown,JAC,WR103,290.5,4.2
Jermar Jefferson,,RB81,290.5,
Kenny Pickett,CLE,QB35,290.5,5.2
Durham Smythe,CHI,TE40,292,
J.J. Taylor,HOU,RB82,293,
Tre Tucker,LV,WR104,293.5,7.6
Aidan O'Connell,LV,QB36,295,10.8
Deuce Vaughn,DAL,RB83,295.5,
Andrei Iosivas,CIN,WR105,298.5,7.1
Elijah Moore,,WR106,301,7.1
D,,,,
Allen Lazard,NYJ,WR107,303,
Darnell Washington,PIT,TE41,305,2.6
Joshua Dobbs,NE,QB37,307,
Tyler Higbee,LAR,TE42,371.7,8.9
Luke Schoonmaker,DAL,TE43,308.5,3.4
Mecole Hardman Jr.,GB,WR108,308.5,
Cade York,,K29,309.5,
Isaac Guerendo,SF,RB85,310,5.9
Cade Stover,HOU,TE44,313.5,2.3
A.T. Perry,DEN,WR109,314,
Zay Jones,ARI,WR110,314.5,
Carson Wentz,,QB38,315.5,
K.J. Osborn,WAS,WR111,315.5,
Joe Flacco,CLE,QB39,317.5,
Connor Heyward,PIT,TE45,320,
Jared Wiley,KC,TE46,320.5,
Brevin Jordan,HU,TE47,326,
Jimmy Garoppolo,LAR,QB40,328.5,
Hendon Hooker,DET,QB41,329.5,
Brock Wright,DET,TE48,331.5,
Chad Ryland,ARI,K30,332,
Zach Wilson,MIA,QB42,332.5,
Theo Johnson,NYG,TE49,333,5.7
Kendrick Bourne,NE,WR112,334,
Equanimeous St. Brown,,WR113,334.5,
Greg Joseph,,K31,334.5,
Josh Reynolds,NYJ,WR114,334.5,
Tommy DeVito,NYG,QB43,343.5,
DeWayne McBride,,RB86,344,
Tyler Scott,CHI,WR115,349,
Tom Brady,,QB44,202,
Brett Maher,,K32,352,
Trey Lance,LAC,QB45,357.5,
Matt Prater,,K33,217,8.3
Cooper Rush,BAL,QB46,359,
Spencer Rattler,NO,QB47,361,
Josh Oliver,MIN,TE50,363,
D.J. Montgomery,IND,WR116,364,
Patrick Taylor Jr.,SF,RB87,364.5,
Elijah Higgins,ARI,TE51,365,2.9
Chris Naggar,,K34,233,
